Date,Open,High,Low,Close,Volume,Market Cap
Sep-01-2013,135.14,145.81,134.81,138.34,0,1601467804
Aug-31-2013,133.09,140.89,132.72,135.35,0,1579944254
Aug-30-2013,122.35,135.75,120.99,133.49,0,1464541261
Aug-29-2013,122.62,123.70,122.21,122.39,0,1427988599
Aug-28-2013,126.48,127.32,122.62,122.62,0,1441389667
Aug-27-2013,120.07,127.24,120.07,126.50,0,1447401364
Aug-26-2013,122.11,122.76,119.93,120.06,0,1411088720
Aug-25-2013,119.60,122.99,119.17,122.11,0,1406472357
Aug-24-2013,118.51,121.39,118.02,120.05,0,1384680636
Aug-23-2013,122.00,122.00,118.44,118.50,0,1390100979
Aug-22-2013,123.30,123.50,120.60,121.15,0,1415723416
Aug-21-2013,121.21,124.91,119.68,123.30,0,1417413324
Aug-20-2013,119.00,123.01,117.51,121.21,0,1394751685
Aug-19-2013,113.38,123.06,111.77,119.00,0,1364524149
Aug-18-2013,112.75,114.69,112.00,113.50,0,1311687810
Aug-17-2013,108.99,113.75,108.23,113.50,0,1277530514
Aug-16-2013,110.00,112.30,108.52,108.99,0,1268163042
Aug-15-2013,112.56,113.25,109.00,109.99,0,1284681611
Aug-14-2013,109.56,115.00,108.00,112.56,0,1295010013
Aug-13-2013,106.99,109.35,104.65,109.00,0,1234296705
Aug-12-2013,105.00,108.00,103.50,106.64,0,1209792541
Aug-11-2013,103.00,105.19,102.76,105.00,0,1199563910
Aug-10-2013,102.80,103.90,102.41,103.00,0,1188189281
Aug-09-2013,103.07,105.75,101.94,102.80,0,1189772905
Aug-08-2013,106.75,106.75,101.26,103.00,0,1200724316
Aug-07-2013,106.75,106.75,106.75,106.75,0,1229098150
Aug-06-2013,106.72,107.38,105.56,106.75,0,1226729676
Aug-05-2013,105.12,107.77,105.00,106.22,0,1224253220
Aug-04-2013,104.95,105.95,103.52,105.14,0,1204088167
Aug-03-2013,104.50,105.78,102.00,104.01,0,1194759656
Aug-02-2013,104.86,108.00,101.21,104.50,0,1202745037
Aug-01-2013,106.21,108.00,103.01,104.00,0,1211387359
Jul-31-2013,107.95,111.34,103.88,106.09,0,1237309604
Jul-30-2013,101.49,107.99,100.47,107.99,0,1172404696
Jul-29-2013,98.60,102.50,98.46,101.20,0,1153031434
Jul-28-2013,94.40,100.58,94.00,99.76,0,1105575186
Jul-27-2013,96.02,97.00,93.00,94.12,0,1083941020
Jul-26-2013,96.95,97.47,96.00,96.02,0,1104579892
Jul-25-2013,94.51,97.33,93.87,96.90,0,1096702946
Jul-24-2013,95.56,95.99,93.00,94.51,0,1082141085
Jul-23-2013,91.60,96.82,91.60,95.56,0,1074547609
Jul-22-2013,92.00,92.00,90.08,91.61,0,1043066742
Jul-21-2013,89.82,91.95,88.00,90.76,0,1025637479
Jul-20-2013,92.00,93.10,89.27,89.39,0,1051175382
Jul-19-2013,90.07,95.20,87.80,92.17,0,1035625723
Jul-18-2013,98.50,98.80,86.20,90.58,0,1050190865
Jul-17-2013,96.71,99.97,96.18,98.50,0,1120160357
Jul-16-2013,98.89,99.86,96.14,97.45,0,1118928652
Jul-15-2013,93.61,101.90,93.11,98.40,0,1106703861
Jul-14-2013,98.70,98.70,92.86,94.69,0,1092639153
Jul-13-2013,93.99,98.25,88.06,98.13,0,1060782341
Jul-12-2013,88.98,104.00,88.17,93.59,0,1093406362
Jul-11-2013,88.00,90.28,85.08,88.98,0,992770237
Jul-10-2013,76.72,87.00,76.20,86.76,0,897604563
Jul-09-2013,76.00,78.30,72.52,76.69,0,863024351
Jul-08-2013,76.50,80.00,72.60,76.52,0,878549528
Jul-07-2013,68.75,74.56,66.62,74.56,0,791126739
Jul-06-2013,68.51,75.00,66.82,70.28,0,792036540
Jul-05-2013,79.99,80.00,65.53,68.43,0,838864814
Jul-04-2013,78.89,83.11,72.00,80.53,0,901020321
Jul-03-2013,90.41,90.98,76.98,77.53,0,986216832
Jul-02-2013,88.05,92.30,87.51,90.13,0,1021768603
Jul-01-2013,97.51,97.66,86.30,88.05,0,1068851314
Jun-30-2013,95.00,98.12,94.22,96.61,0,1093902466
Jun-29-2013,94.66,99.99,93.00,94.99,0,1093324632
Jun-28-2013,101.74,101.74,92.33,94.65,0,1105778522
Jun-27-2013,104.00,104.00,101.10,101.44,0,1166017535
Jun-26-2013,103.33,105.49,102.79,104.00,0,1181535897
Jun-25-2013,102.09,106.47,101.01,103.95,0,1179374743
Jun-24-2013,107.90,108.33,100.98,102.74,0,1181220992
Jun-23-2013,108.20,108.80,106.23,107.60,0,1217834977
Jun-22-2013,109.50,109.96,107.51,108.30,0,1229628097
Jun-21-2013,111.29,114.99,107.69,109.50,0,1251009496
Jun-20-2013,108.25,114.30,107.50,110.15,0,1246330945
Jun-19-2013,107.05,110.23,105.76,108.25,0,1218040100
Jun-18-2013,101.95,111.11,101.03,107.40,0,1188925052
Jun-17-2013,99.90,102.21,99.00,101.70,0,1141778808
Jun-16-2013,99.80,101.60,98.95,99.51,0,1129685675
Jun-15-2013,100.00,103.70,98.00,99.99,0,1135366606
Jun-14-2013,103.95,104.70,98.00,99.98,0,1148091964
Jun-13-2013,108.78,110.30,100.53,104.00,0,1222677445
Jun-12-2013,109.00,111.79,106.73,108.15,0,1228302244
Jun-11-2013,106.35,109.60,104.00,108.90,0,1204883955
Jun-10-2013,100.44,110.10,95.00,106.35,0,1177145220
Jun-09-2013,107.89,108.99,88.50,100.00,0,1126166926
Jun-08-2013,111.00,111.42,107.30,108.30,0,1230471192
Jun-07-2013,118.97,119.00,106.42,111.50,0,1285665766
Jun-06-2013,121.90,123.10,117.25,118.00,0,1362952370
Jun-05-2013,121.40,123.47,119.90,121.65,0,1366198057
Jun-04-2013,120.74,123.84,119.10,121.42,0,1366519794
Jun-03-2013,122.50,122.50,116.00,122.22,0,1343652163
Jun-02-2013,129.30,129.40,115.05,122.29,0,1384800051
Jun-01-2013,128.82,129.78,127.20,129.30,0,1444664157
May-31-2013,128.80,129.90,126.40,129.00,0,1443010700
May-30-2013,132.25,132.25,127.00,128.80,0,1463545478
May-29-2013,129.00,132.59,127.66,132.30,0,1454416207
May-28-2013,129.77,130.58,125.60,129.00,0,1439280237
May-27-2013,133.50,135.47,124.70,129.75,0,1488920279
May-26-2013,131.99,136.00,130.62,133.48,0,1493842937
May-25-2013,133.10,133.22,128.90,131.98,0,1472858824
May-24-2013,126.30,133.85,125.72,133.20,0,1441256681
May-23-2013,123.80,126.93,123.10,126.70,0,1398746909
May-22-2013,122.89,124.00,122.00,123.89,0,1372542171
May-21-2013,122.02,123.00,121.21,122.88,0,1367163586
May-20-2013,122.50,123.62,120.12,122.00,0,1368271987
May-19-2013,123.21,124.50,119.57,121.99,0,1368860920
May-18-2013,123.50,125.25,122.30,123.50,0,1379235727
May-17-2013,118.21,125.30,116.57,123.02,0,1334833731
May-16-2013,114.22,118.76,112.20,118.76,0,1282659395
May-15-2013,111.40,115.81,103.50,114.22,0,1250200218
May-14-2013,117.98,119.80,110.25,111.50,0,1311537042
May-13-2013,114.82,118.70,114.50,117.98,0,1301411889
May-12-2013,115.64,117.45,113.44,115.00,0,1286251829
May-11-2013,117.70,118.68,113.01,115.24,0,1295632312
May-10-2013,112.80,122.00,111.55,117.20,0,1296978426
May-09-2013,113.20,113.46,109.26,112.67,0,1245372318
May-08-2013,109.60,115.78,109.60,113.57,0,1255949697
May-07-2013,112.25,113.44,97.70,111.50,0,1200047411
May-06-2013,115.98,124.66,106.64,112.30,0,1322216068
May-05-2013,112.90,118.80,107.14,115.91,0,1268310696
May-04-2013,98.10,115.00,92.50,112.50,0,1161080071
May-03-2013,106.25,108.13,79.10,97.75,0,1037536838
May-02-2013,116.38,125.60,92.28,105.21,0,1236443772
May-01-2013,139.00,139.89,107.72,116.99,0,1422546075
Apr-30-2013,144.00,146.93,134.05,139.00,0,1578684648
Apr-29-2013,134.44,147.49,134.00,144.54,0,1549500876
Apr-28-2013,134.44,135.98,132.10,134.21,0,1483338725
Apr-27-2013,128.00,128.00,128.00,128.00,0,0
Apr-26-2013,136.90,136.90,136.90,136.90,0,0
Apr-25-2013,141.71,141.71,141.71,141.71,0,0
